,Australia Real Exchange Rate,New Zealand Real Exchange Rate,Austria Real Exchange Rate,Belgium Real Exchange Rate,Canada Real Exchange Rate,Denmark Real Exchange Rate, Finland Real Exchange Rate,France Real Exchange Rate,Germany Real Exchange Rate,Italy Real Exchange Rate,Japan Real Exchange Rate,Netherlands Real Exchange Rate,Norway Real Exchange Rate,Spain Real Exchange Rate,Sweden Real Exchange Rate,Switzerland Real Exchange Rate,UK Real Exchange Rate  
Q 1/1985,0.466261353,1.022450928,3.040068486,4.055424096,0.283455617,2.393510358,1.917131825,2.217922742,1.064471282,7.800549636,5.330512663,1.121031512,2.314147114,5.418275205,2.402786424,0.93406174,0.011012077
Q 2/1985,0.569881585,0.993478534,2.993592262,4.005172587,0.297064853,2.342009273,1.860734634,2.155240397,1.019089315,7.763722467,5.30809034,1.066034056,2.258134798,5.377866338,2.360582388,0.880725802,-0.129903831
Q 3/1985,0.50853123,0.83869426,2.91715984,3.928182156,0.288168991,2.275898357,1.79974,2.073470502,0.947502658,7.721084896,5.263853023,0.991034764,2.190231417,5.333207849,2.302788737,0.791397191,-0.215441381
Q 4/1985,0.51494032,0.761698869,2.826093304,3.843525766,0.301990975,2.181824487,1.728691015,1.979461973,0.856790828,7.627921053,5.127127011,0.898295808,2.118997304,5.277756918,2.224534934,0.694456051,-0.255681325
Q 1/1986,0.470906898,0.805051544,2.720885396,3.753585311,0.308789577,2.105182443,1.662274555,1.89093182,0.76096057,7.524899854,5.030350381,0.810893784,2.042813688,5.165058124,2.15815809,0.618299827,-0.262595617
Q 2/1986,0.438417827,0.708164292,2.67546847,3.70292773,0.284712379,2.028937477,1.627976203,1.872274256,0.716819877,7.473485635,4.926019323,0.759785632,2.030393603,5.117271031,2.120818246,0.560144055,-0.324404471
Q 3/1986,0.558613324,0.786330735,2.607209854,3.648568688,0.281838499,1.9806955,1.598232182,1.821611292,0.656448697,7.407197358,4.852000452,0.70283509,2.008971954,5.049689743,2.093022422,0.470304437,-0.30423047
Q 4/1986,0.49252392,0.68973479,2.57474837,3.618575995,0.275785969,1.939372321,1.584825502,1.789041439,0.626162329,7.367118405,4.884772301,0.665016838,2.004799562,5.036272083,2.080985252,0.45746236,-0.272821457
Q 1/1987,0.449005872,0.607957217,2.495995335,3.53439485,0.243991894,1.860309654,1.504946546,1.718472831,0.544401199,7.303882297,4.856938401,0.601444081,1.929705023,4.992078582,2.015999995,0.385712312,-0.34768729
Q 2/1987,0.382963938,0.530919238,2.481251977,3.521547634,0.238813562,1.834901711,1.46785245,1.705496573,0.534846598,7.298319129,4.785738849,0.59066279,1.878458451,4.97559357,1.992392217,0.361103468,-0.413832325
Q 3/1987,0.380891557,0.485702324,2.49923387,3.547386425,0.231914926,1.874898141,1.488142714,1.729686843,0.565944746,7.324079518,4.829419374,0.617593689,1.880396428,4.963936461,2.007367292,0.392787615,-0.389118209
Q 4/1987,0.386900492,0.425530228,2.43915119,3.4898243,0.224635301,1.802496639,1.424416898,1.66783132,0.498047543,7.252720336,4.755539575,0.546334225,1.834993693,4.875189593,1.950879126,0.311007577,-0.471372528
Q 1/1988,0.35289179,0.373413896,2.41990152,3.479342825,0.188302386,1.773588998,1.387632038,1.655783078,0.480696134,7.235672348,4.708353299,0.538519659,1.800775004,4.856469125,1.922731065,0.28995545,-0.494521147
Q 2/1988,0.269655301,0.344943406,2.446068145,3.502632732,0.157954348,1.787342462,1.381005457,1.676953531,0.50572909,7.26288979,4.694445625,0.561571788,1.777641263,4.865155661,1.912167557,0.329539596,-0.531185164
Q 3/1988,0.236249928,0.410594481,2.535349691,3.601946659,0.151885421,1.885582481,1.468325005,1.771640912,0.607992446,7.356106961,4.769718746,0.666064531,1.872726025,4.942329547,1.989297458,0.440746906,-0.448218567
Q 4/1988,0.178111215,0.425202118,2.501474495,3.559468583,0.144723074,1.843076854,1.414243588,1.734095066,0.564131743,7.299303969,4.706767025,0.621078694,1.840457351,4.880969708,1.940878973,0.399523342,-0.513733803
Q 1/1989,0.170066367,0.446390406,2.542859964,3.60047427,0.129351816,1.889007325,1.425610169,1.773313498,0.601402697,7.319015599,4.748078979,0.679734245,1.855892373,4.864715533,1.959966324,0.453176847,-0.494906832
Q 2/1989,0.248238814,0.487700645,2.598369637,3.650852412,0.130667498,1.934940201,1.428686115,1.819191715,0.653908694,7.357549347,4.813346856,0.732606141,1.897130533,4.922915342,1.994531209,0.531243768,-0.432924043
Q 3/1989,0.250449084,0.478635917,2.585991407,3.64371146,0.114426172,1.930514582,1.429832776,1.812374491,0.655840921,7.339631486,4.85036672,0.728891914,1.902223961,4.89692259,1.991202244,0.514488882,-0.417311088
Q 4/1989,0.218623848,0.470252713,2.541189772,3.591927038,0.105719208,1.868784394,1.397894416,1.760425609,0.599782152,7.294697053,4.859419531,0.674391138,1.878278627,4.852212818,1.960733219,0.473141472,-0.420340642
Q 1/1990,0.239408611,0.472656252,2.475733808,3.524614626,0.120595892,1.809017956,1.337448387,1.695063297,0.536094231,7.229200226,4.905183047,0.617489032,1.835161007,4.790898964,1.893046145,0.407194062,-0.465384715
Q 2/1990,0.230197597,0.48987003,2.470848312,3.5082607,0.111082575,1.792812306,1.326639911,1.681310106,0.533930446,7.209870684,4.95047578,0.611215856,1.827291578,4.755288073,1.871320116,0.366329262,-0.510800781
Q 3/1990,0.188281216,0.446033093,2.418170876,3.459182128,0.102402087,1.751804372,1.280029153,1.635086337,0.494074083,7.166619039,4.898293812,0.568433054,1.78451244,4.688161537,1.825461734,0.293835115,-0.617158015
Q 4/1990,0.212857635,0.45558184,2.374801286,3.406884451,0.111261015,1.70368591,1.244857725,1.586660181,0.441189157,7.121621187,4.793896165,0.517711636,1.738567301,4.648125864,1.784152361,0.242880847,-0.660307748
Q 1/1991,0.227319767,0.472905212,2.39357572,3.427616515,0.086910082,1.734878172,1.261554187,1.617765022,0.460562262,7.131682574,4.819818927,0.543349429,1.76148104,4.653124281,1.763685217,0.262996238,-0.636645813
Q 2/1991,0.240192784,0.499756146,2.517080678,3.55374838,0.079612967,1.853205098,1.359127846,1.736241674,0.581760116,7.237571647,4.84871625,0.66511749,1.877966615,4.76859854,1.843652474,0.374229337,-0.541607396
Q 3/1991,0.22661988,0.522198534,2.512991457,3.556584465,0.077037354,1.868769004,1.399177557,1.746007183,0.578501491,7.244602163,4.843831496,0.662854275,1.890487132,4.77005465,1.864866547,0.40142359,-0.525168071
Q 4/1991,0.225127492,0.554578421,2.456362567,3.489601513,0.078721746,1.804591481,1.391018594,1.679972645,0.498868632,7.176331696,4.786741923,0.59225762,1.829190873,4.706453038,1.796525137,0.34140285,-0.578883633
Q 1/1992,0.271408636,0.585810346,2.439629981,3.486120736,0.11772798,1.804625836,1.440406404,1.674487316,0.487454875,7.163594635,4.788625167,0.589587964,1.825950466,4.681971231,1.793129736,0.350037124,-0.574810263
Q 2/1992,0.274990428,0.599189085,2.435522662,3.48547937,0.134300584,1.794419141,1.434121021,1.661569057,0.48064777,7.157801461,4.797676864,0.585384092,1.816123871,4.676592824,1.786622503,0.363433723,-0.609039236
Q 3/1992,0.319292976,0.598503339,2.330005647,3.38946087,0.144703476,1.705415531,1.388847386,1.577583645,0.386173375,7.084746481,4.767737617,0.490466128,1.7366065,4.609442241,1.706921975,0.243434075,-0.650743934
Q 4/1992,0.366774985,0.63592128,2.397467965,3.447593354,0.196183051,1.765642653,1.56334496,1.638499397,0.4461936,7.264504583,4.754949108,0.547641485,1.837940979,4.75729161,1.856989223,0.305150305,-0.461281161
Q 1/1993,0.382202909,0.653079642,2.441843194,3.500554928,0.197279042,1.823923144,1.709408261,1.691203558,0.483414866,7.386962397,4.747355432,0.60498114,1.921825845,4.804071752,2.022121497,0.380614511,-0.380480264
Q 2/1993,0.374593252,0.615559227,2.43203316,3.491534238,0.209855116,1.811195327,1.674355502,1.676020044,0.471051134,7.355381444,4.65032026,0.592137835,1.904878408,4.839351428,2.009767024,0.348857333,-0.427123871
Q 3/1993,0.412622597,0.596175002,2.459745737,3.548115317,0.235954345,1.894795076,1.725642467,1.74127516,0.505123633,7.402687547,4.60887591,0.623702151,1.965826494,4.937530596,2.093164631,0.361885987,-0.406311986
Q 4/1993,0.421895243,0.599415034,2.473008183,3.566023912,0.253924159,1.89129775,1.727507886,1.747893277,0.514772873,7.441541657,4.643366587,0.628066886,1.981747283,4.948068913,2.117571264,0.361002104,-0.393845724
Q 1/1994,0.364350062,0.57456227,2.489429591,3.557969584,0.27827673,1.898869819,1.704350147,1.75511546,0.531968943,7.456375301,4.643214598,0.651178126,2.003969522,4.970532669,2.094312548,0.352829174,-0.386726305
Q 2/1994,0.339620257,0.556086815,2.453792444,3.518355269,0.31822178,1.863425666,1.672706086,1.724564603,0.494880201,7.404689451,4.604819995,0.613980248,1.96952037,4.935401704,2.0655571,0.330004445,-0.408587242
Q 3/1994,0.325277383,0.517629399,2.386447028,3.456770369,0.312897378,1.812505616,1.607808461,1.670636002,0.435138714,7.38430796,4.573157345,0.551499257,1.920071577,4.879638628,2.053077219,0.265023946,-0.431676508
Q 4/1994,0.296902838,0.478548225,2.3857503,3.451782359,0.312624362,1.793793143,1.540265102,1.662791545,0.428633433,7.389473453,4.570850127,0.539632348,1.905165356,4.874104922,2.011784325,0.259011467,-0.453631069
Q 1/1995,0.298682776,0.445654171,2.340619525,3.41312486,0.338019425,1.765699043,1.514210181,1.639003166,0.38646722,7.414187642,4.557714215,0.502363563,1.872201354,4.874393672,2.013794967,0.21154599,-0.453757757
Q 2/1995,0.322285758,0.401794379,2.285123731,3.359384634,0.31393202,1.697025337,1.455856946,1.593319707,0.33335394,7.421857816,4.433260946,0.446392099,1.829975836,4.812964261,2.001060793,0.142793644,-0.471942038
Q 3/1995,0.294937333,0.413206963,2.304390126,3.381212945,0.304517348,1.718863365,1.461139317,1.600902095,0.359181848,7.37995361,4.547434775,0.474134517,1.842188475,4.811342585,1.989318784,0.166835788,-0.45589052
Q 4/1995,0.283158505,0.424029316,2.312351106,3.38243659,0.309559636,1.710545101,1.463482429,1.59631126,0.359199725,7.366753388,4.628634841,0.469372836,1.840728775,4.803087426,1.916362537,0.145880294,-0.444045327
Q 1/1996,0.276811095,0.400621314,2.342965788,3.409590187,0.323658539,1.742562315,1.525002076,1.619269819,0.391346297,7.349479891,4.682019976,0.502243308,1.874262208,4.811577191,1.941754104,0.184804812,-0.421348413
Q 2/1996,0.233917535,0.389240472,2.382717764,3.453862725,0.32239242,1.775837528,1.570392058,1.645253058,0.432895838,7.3365501,4.702332264,0.539544439,1.894139349,4.841611007,1.940698948,0.237241875,-0.419785384
Q 3/1996,0.240375608,0.376031311,2.370224991,3.43894564,0.330665121,1.763659047,1.536875417,1.640806352,0.420264345,7.31762079,4.721941084,0.530299857,1.879277649,4.834475471,1.938443824,0.225280366,-0.435416208
Q 4/1996,0.237816187,0.354652189,2.394248709,3.463309345,0.316810991,1.778960883,1.554729815,1.659459461,0.448154752,7.320078243,4.761089012,0.552397656,1.87881975,4.854256295,1.952178321,0.281640694,-0.486455623
Q 1/1997,0.265247719,0.376422285,2.477548392,3.544757362,0.324676489,1.857625801,1.633711863,1.739224873,0.524241013,7.394373805,4.841885264,0.636868817,1.903813876,4.940349755,2.059502616,0.394514042,-0.482105035
Q 2/1997,0.283474296,0.389491592,2.512118397,3.583298506,0.345122915,1.884528205,1.670360512,1.773079817,0.559362053,7.424288298,4.810541815,0.666772918,1.970832573,4.97518772,2.097652542,0.404826276,-0.494343201
Q 3/1997,0.336457039,0.453457474,2.568180243,3.630589597,0.345394888,1.936139171,1.715805045,1.827700081,0.607517688,7.468102303,4.80124462,0.719692046,2.024596153,5.023641436,2.114816091,0.435464408,-0.492618132
Q 4/1997,0.3993956,0.50069792,2.54066919,3.607731134,0.367978777,1.907572299,1.69773703,1.795461424,0.584830543,7.441219239,4.863143148,0.689990625,1.978030156,4.994114837,2.090154546,0.405507201,-0.517530899
Q 1/1998,0.43596058,0.564829229,2.573432057,3.64457376,0.37991013,1.941312281,1.740172231,1.83079642,0.619014003,7.477164821,4.891126612,0.725417526,2.027378957,5.031508378,2.15059822,0.435555878,-0.510620006
Q 2/1998,0.495109197,0.645392595,2.562913982,3.629272874,0.39404228,1.926445977,1.727419277,1.818193487,0.607583655,7.46523134,4.950350328,0.712683903,2.023827364,5.021736956,2.124925626,0.45266125,-0.526962805
Q 3/1998,0.545746492,0.695392973,2.550746859,3.613661069,0.441862654,1.911078343,1.716405613,1.806606596,0.591530723,7.450837066,4.990126687,0.693680372,2.040061658,5.001726424,2.157848512,0.440606512,-0.526507959
Q 4/1998,0.50251278,0.671259581,2.493853741,3.561620096,0.462248999,1.850237176,1.659268741,1.753070291,0.539686241,7.396120552,4.828892326,0.632363841,2.019894997,4.946799968,2.156454079,0.368726154,-0.541047166
